Return,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100
0.117,0.865838877682825,0.850380106979363,0.830156321046765,0.713931131208784,0.705540661601172,0.849417540928905,0.765734591925461,0.798398273057968,0.747636903430492,0.73669224297649,0.890394375513317,0.80945304844531,0.861855132804776,1.16197812936637,0.837800828691469,0.898090353921882,1.07576031599725,0.997839523040303,0.689685445288894,0.769024623769874,0.782535335123522,0.777861260819273,1.0616845369784,0.719963339229675,0.751841281917695,0.960760561037462,0.93457402193206,0.696754443401212,0.787476608267089,0.860006519225628,0.743056424104161,0.823739935227042,0.62805435409931,0.867610152419464,0.836060540817765,0.848688665072053,1.07247546899359,0.701345533403535,0.779510045581176,0.939093444454249,0.718892053377462,1.0296513497651,0.975401857699944,0.911470055760905,0.943462428372801,0.799251682963442,0.900968281706456,0.900393410277859,0.929569891549165,0.869697520532824,0.673703018020743,0.741475217138465,0.661477907958612,0.799052608544052,0.73670667367404,0.689065974440047,0.911455920019946,0.678198865232917,0.889160923700765,0.847414854990208,0.795279629204357,0.842132157669472,0.742501486170988,0.932765518262814,0.884515132156918,0.854315108243739,1.10504311253004,1.09319141713821,0.666011490446566,0.785733265688503,0.81018835126062,0.627399851281117,0.687186644966979,0.784789163934795,0.701022267931697,1.14790419155284,1.00743360756348,0.740970059642251,0.759098902606133,0.640986745720259,0.965024570965086,0.943525699889989,0.742337195090333,0.838630212221812,0.649195588806286,0.793814710786768,0.687001062720871,0.627624608070515,1.00118661447793,0.850829531255153,0.736032479274579,0.699865738788513,1.06499992343046,0.829524452754371,0.767521746508552,0.641574538411858,0.9209259766909,0.791169031994762,0.778872701103846,0.859537867984509
0.118,0.859291244868288,0.844189595630423,0.825233047251315,0.709668520577827,0.701114628018964,0.843177383393178,0.761984798963187,0.795358258351428,0.742662205900938,0.732740922531275,0.885644956850442,0.802454936725661,0.856132131611882,1.15864666655896,0.832870826695527,0.891756726804686,1.07287534333951,0.992648297029033,0.686648700852022,0.762640269045862,0.778273734293078,0.773166339428312,1.05377089470124,0.716229757673375,0.747676175727687,0.956522506836632,0.92761145341813,0.692855859046514,0.78274751333151,0.855787666871999,0.740070908109113,0.819277837222999,0.624664396751621,0.862693892616506,0.832244180363738,0.844735961601013,1.06776227615768,0.697795336268619,0.776282561807367,0.936637912484659,0.714202229127962,1.0238001517736,0.973039218973329,0.907681999145349,0.939128219292319,0.79425340909884,0.895339367953376,0.898102545034761,0.9261111828508,0.864215334969968,0.669519957707871,0.737946871468311,0.657480907652662,0.794870906385641,0.7317599472581,0.684698510844445,0.907250002617522,0.674581487494917,0.885119004742951,0.845195712697078,0.788724700064675,0.837592270778144,0.73659063331154,0.929258049946348,0.880585460241895,0.849055333989751,1.10296711504688,1.08736515166191,0.661984516202172,0.780841816944113,0.804587200603448,0.623105080472868,0.683628870151382,0.7812247017724,0.697591207879584,1.14423356540997,1.00426830986533,0.736600672289541,0.754292647635014,0.637253175211326,0.959265101789977,0.940464844686849,0.738841593018277,0.83112996777915,0.644980993000509,0.789646246679175,0.683473046453816,0.624078092270681,0.996543692512334,0.845234299251724,0.733018803214148,0.695800327512137,1.06159554455128,0.823409653343588,0.763622973416368,0.637972117443589,0.916603580164703,0.78811914998187,0.775113385333097,0.854104974606797
0.119,0.85281632288807,0.83806595865596,0.82035158866586,0.705459646430324,0.696747543662014,0.837004750992898,0.758272737169886,0.792344441228076,0.737737610057388,0.728836412280597,0.880945233602926,0.795555388714889,0.850466405461872,1.15532364977396,0.827979367084447,0.885488890371352,1.07000051324466,0.98748781225318,0.683642992197194,0.756339628955234,0.774047362268709,0.768529930123917,1.04593087802223,0.71253880850048,0.743562095004465,0.952302577997749,0.920719658538582,0.689004118307396,0.778075504235739,0.851611148616116,0.737113338134171,0.814848367825212,0.621315186261882,0.857832424353521,0.828450337294104,0.840821101098548,1.06306193140583,0.694283898866553,0.77308528745342,0.934194269744185,0.709561386023747,1.01798229889277,0.970685647666604,0.903911232681311,0.934815195313696,0.789318996236782,0.889757632178852,0.895824288598856,0.922678222748747,0.858781238533558,0.665391136561703,0.734455871617087,0.653536088910695,0.790734402731696,0.726864386485127,0.680389771682309,0.90306737767132,0.671006858538883,0.881099126732792,0.84299041361563,0.782256870541979,0.833099454014645,0.730759832504471,0.925775842948845,0.876676493692364,0.843839673821656,1.10089194227765,1.08156191738647,0.658010033145483,0.775995029520099,0.799040987939097,0.618870416231731,0.680113538207863,0.777694645540396,0.694198193359123,1.14057608294528,1.00111886855142,0.732285895991473,0.74953525339139,0.633566859759727,0.953548398314756,0.937421415933329,0.735382337304566,0.82373547571037,0.640813700477735,0.785523863254501,0.679984508043447,0.620576027685273,0.991938484631738,0.839689649250595,0.730033723031606,0.69178708213111,1.05820697080445,0.817365473958549,0.759764966951125,0.634405574740772,0.91230256500715,0.785096190985704,0.771391959585698,0.848724344127841
0.12,0.846413555810122,0.832008699095519,0.815511781428169,0.70130374210529,0.692438498653092,0.830899153346523,0.754598035909659,0.789356660463618,0.732862720940943,0.724978130647358,0.876294713314943,0.788752974105251,0.84485763108475,1.15200934488377,0.82312641481623,0.879286464846419,1.06713598312147,0.982358409300546,0.68066802213674,0.750121637594112,0.769856054079846,0.763951232273571,1.03816449657021,0.708889990933862,0.739498399538729,0.948101059146351,0.913898337638674,0.685198601493262,0.773459822727074,0.847476597102154,0.734183495746159,0.810451510676138,0.618006176057778,0.853025139587734,0.824679093722631,0.836943788644559,1.05837498939978,0.690810781994888,0.769917997259602,0.931762595954427,0.704969054423123,1.01219819746668,0.96834125940198,0.900157947425175,0.930523595604544,0.784447542276581,0.884222968266701,0.893558675510281,0.919270964595386,0.853395125079287,0.661315725938493,0.731001841509569,0.649642667593622,0.786642626789,0.722019542383749,0.676138838518187,0.89890818876571,0.667474432813223,0.877101431156227,0.840798960969526,0.775875012530031,0.828653230747705,0.72500794335608,0.922318859478468,0.872788380009714,0.838668087976518,1.09881776537191,1.07578242197591,0.654087250918333,0.771192646202091,0.793549382227358,0.614694818183297,0.676640131856528,0.77419870509649,0.690842801522824,1.13693197672734,0.99798538283598,0.728024973719251,0.744826379310024,0.629927109713119,0.947874524241621,0.934395446207735,0.731959067180122,0.816445260648009,0.636693137064761,0.781447061956398,0.676534973591168,0.617117782391849,0.987370841669002,0.83419538124267,0.727077015644549,0.687825265361121,1.05483436095278,0.811391265737388,0.755947306285484,0.630874548886182,0.908023180569881,0.782099991575428,0.767708069932281,0.843395594201761
0.121,0.840082376685638,0.826017310602433,0.810713453942068,0.697200054730623,0.688186601124996,0.824860089681151,0.750960328294561,0.786394755312842,0.728037140279945,0.721165505102294,0.871692907721634,0.782046277457592,0.839305474835417,1.14870401141845,0.818311923341822,0.873149056721246,1.06428190630183,0.977260407959523,0.677723496948275,0.743985234990968,0.765699640474635,0.759429458481494,1.03047172187544,0.705282811427048,0.735484459020205,0.943918222966639,0.907147169203403,0.68143869922148,0.768899722401687,0.84338364729264,0.73128116430007,0.806087240541126,0.614736829137954,0.84827143689088,0.82093052428074,0.833103730569048,1.05370198683292,0.687375552456766,0.766780467375526,0.929342968225911,0.700424765594173,1.00644822890912,0.966006166975023,0.896422325852435,0.926253647422702,0.77963816044455,0.878735257065244,0.891305738657768,0.915889358931552,0.848056874170802,0.657292913374775,0.727584409435053,0.645799874810681,0.782595112754663,0.717224964513837,0.671944811359619,0.894772569872838,0.663983673673096,0.873126050397743,0.838621356837531,0.769578005154157,0.824253128631315,0.719333839225995,0.918887058675414,0.868921257963114,0.833540521788774,1.09674475312806,1.07002734338409,0.65021539456206,0.766434403996463,0.788112043230347,0.610577269182377,0.673208141950139,0.770736592434899,0.687524615385981,1.13330147234032,0.994867947695543,0.723817161548956,0.740165679952516,0.62633324850289,0.942243526300957,0.931386965118391,0.728571425965343,0.809257857797902,0.632618735115153,0.777415350082693,0.673123976326859,0.613702736237697,0.982840610552763,0.828751283442666,0.724148459710867,0.683914153358944,1.0514778680006,0.805486375218539,0.752169575171342,0.627378681399913,0.903765663626541,0.779130388711369,0.764061365626153,0.838118338833012
