,Return,epk_cluster0,0,1
0,-0.15,0.900052689276018,0.7676376533060552,1.0324677252459808
1,-0.149,0.898126438919716,0.7662549252163202,1.0299979526231118
2,-0.148,0.896218079827541,0.7648810296019242,1.0275551300531578
3,-0.147,0.894327537819368,0.7635160841647481,1.025138991473988
4,-0.146,0.892454739643045,0.7621602051829259,1.022749274103164
5,-0.145,0.890599612976717,0.7608135075208742,1.0203857184325598
6,-0.144,0.888762086431107,0.7594761046399836,1.0180480682222304
7,-0.143,0.886942089551767,0.7581481086099887,1.0157360704935452
8,-0.142,0.885139552821285,0.7568296301210131,1.0134494755215568
9,-0.141,0.883354407661479,0.7555207784963087,1.0111880368266493
10,-0.14,0.881586586435566,0.7542216617056716,1.0089515111654603
11,-0.139,0.879836022450305,0.7529323863795505,1.0067396585210595
12,-0.138,0.878102649958141,0.7516530578238362,1.004552242092446
13,-0.137,0.876386404159326,0.7503837800353393,1.0023890282833126
14,-0.136,0.874687221204049,0.7491246557179418,1.000249786690156
15,-0.135,0.873005038194555,0.7478757862994226,0.9981342900896873
16,-0.134,0.871339793187275,0.7466372719489475,0.9960423144256024
17,-0.133,0.869691425194962,0.7454092115952216,0.9939736387947025
18,-0.132,0.868059874188839,0.7441917029452823,0.9919280454323958
19,-0.131,0.866445081100766,0.742984842503942,0.98990531969759
20,-0.13,0.864846987825422,0.7417887255938393,0.9879052500570047
21,-0.129,0.863265537222516,0.7406034463761234,0.9859276280689085
22,-0.128,0.861700673119028,0.7394290978717284,0.9839722483663276
23,-0.127,0.860152340311475,0.7382657719832344,0.9820389086397157
24,-0.126,0.858620484568222,0.7371135595173106,0.9801274096191335
25,-0.125,0.857105052631826,0.7359725502077036,0.9782375550559484
26,-0.124,0.855605992221425,0.7348428327387732,0.9763691517040768
27,-0.123,0.854123252035181,0.7337244947695564,0.9745220093008057
28,-0.122,0.852656781752762,0.7326176229583293,0.9726959405471948
29,-0.121,0.851206532037895,0.7315223029876765,0.9708907610881135
30,-0.12,0.849772454540959,0.7304386195900139,0.969106289491904
31,-0.119,0.848354501901661,0.7293666565735897,0.9673423472297322
32,-0.118,0.846952627751759,0.7283064968489052,0.9655987586546126
33,-0.117,0.845566786717868,0.7272582224555675,0.9638753509801685
34,-0.116,0.844196934424337,0.7262219145895432,0.9621719542591307
35,-0.115,0.842843027496198,0.7251976536307926,0.9604884013616034
36,-0.114,0.841505023562199,0.7241855191712715,0.9588245279531266
37,-0.113,0.840182881257926,0.7231855900432876,0.9571801724725643
38,-0.112,0.838876560229005,0.7221979443481792,0.9555551761098309
39,-0.111,0.837586021134407,0.721222659485316,0.9539493827834981
40,-0.11,0.836311225649834,0.7202598121813847,0.9523626391182832
41,-0.109,0.835052136471218,0.7193094785199617,0.9507947944224743
42,-0.108,0.833808717318315,0.7183717339713431,0.9492457006652868
43,-0.107,0.832580932938413,0.7174466534226223,0.9477152124542036
44,-0.106,0.831368749110138,0.716534311207984,0.946203187012292
45,-0.105,0.830172132647392,0.7156347811392282,0.9447094841555558
46,-0.104,0.828991051403393,0.7147481365364708,0.9432339662703152
47,-0.103,0.827825474274848,0.713874450259035,0.941776498290661
48,-0.102,0.826675371206243,0.7130137947364984,0.9403369476759876
49,-0.101,0.825540713194274,0.7121662419999002,0.9389151843886478
50,-0.1,0.824421472292399,0.7113318637130687,0.9375110808717294
51,-0.099,0.82331762161554,0.7105107312040798,0.9361245120270002
52,-0.098,0.822229135344913,0.7097029154968109,0.9347553551930152
53,-0.097,0.82115598873302,0.708908487342597,0.9334034901234429
54,-0.096,0.820098158108774,0.7081275172519541,0.9320687989655938
55,-0.095,0.819055620882795,0.7073600755263785,0.9307511662392116
56,-0.094,0.818028355552845,0.7066062322901836,0.9294504788155065
57,-0.093,0.817016341709444,0.7058660575223916,0.9281666258964965
58,-0.092,0.816019560041642,0.7051396210886431,0.9268994989946409
59,-0.091,0.815037992342962,0.704426992773121,0.925648991912803
60,-0.09,0.814071621517525,0.7037282423104818,0.9244150007245682
61,-0.089,0.813120431586346,0.7030434394177721,0.9231974237549198
62,-0.088,0.812184407693825,0.7023726538263344,0.9219961615613157
63,-0.087,0.811263536114421,0.7017159553136707,0.9208111169151714
64,-0.086,0.810357804259515,0.7010734137352661,0.9196421947837639
65,-0.085,0.809467200684484,0.7004450990563618,0.9184893023126062
66,-0.084,0.808591715095971,0.6998310813836603,0.9173523488082818
67,-0.083,0.807731338359364,0.6992314309969522,0.9162312457217757
68,-0.082,0.806886062506487,0.6986462183806544,0.9151259066323195
69,-0.081,0.806055880743518,0.6980755142552552,0.9140362472317808
70,-0.08,0.805240787459119,0.6975193896086378,0.9129621853096002
71,-0.079,0.804440778232811,0.6969779157272977,0.9119036407383243
72,-0.078,0.803655849843564,0.6964511642274032,0.9108605354597248
73,-0.077,0.802886000278649,0.6959392070857331,0.9098327934715649
74,-0.076,0.802131228742719,0.6954421166704366,0.9088203408150014
75,-0.075,0.801391535667152,0.6949599657716306,0.9078231055626735
76,-0.074,0.800666922719652,0.6944928276318121,0.9068410178074919
77,-0.073,0.799957392814103,0.6940407759760603,0.9058740096521458
78,-0.072,0.799262950120712,0.6936038850420398,0.9049220151993842
79,-0.071,0.798583600076413,0.6931822296097616,0.9039849705430645
80,-0.07,0.797919349395559,0.6927758850311002,0.9030628137600177
81,-0.069,0.797270206080908,0.6923849272590519,0.9021554849027642
82,-0.068,0.796636179434902,0.6920094328767079,0.901262925993096
83,-0.067,0.79601728007125,0.6916494791259271,0.900385081016573
