Return,epk_overall,epk_cluster0,epk_cluster1
-0.15,1.03220386107857,1.05007824149455,0.849128636899708
-0.149,1.02672527062283,1.04254686241024,0.849623997751013
-0.148,1.02134899667143,1.03517642642355,0.850121016854962
-0.147,1.01607286036527,1.0279625864068,0.85061969861794
-0.146,1.01089475131079,1.02090115913146,0.851120047468412
-0.145,1.00581262503556,1.01398811776788,0.851622067857032
-0.144,1.00082450055882,1.00721958479614,0.852125764256762
-0.143,0.995928458071067,1.000591825302,0.852631141162984
-0.142,0.991122636717013,0.994101240633932,0.853138203093616
-0.141,0.986405232476719,0.987744362398742,0.85364695458923
-0.14,0.981774496139866,0.981517846774962,0.854157400213166
-0.139,0.977228731368491,0.975418469124655,0.854669544551654
-0.138,0.972766292843791,0.969443118885611,0.855183392213931
-0.137,0.968385584492803,0.963588794727078,0.855698947832358
-0.136,0.964085057791054,0.957852599953443,0.856216216062548
-0.135,0.959863210137454,0.952231738141195,0.856735201583479
-0.134,0.95571858329794,0.946723508995595,0.857255909097621
-0.133,0.951649761914563,0.941325304414313,0.857778343331059
-0.132,0.947655372076897,0.936034604746154,0.858302509033615
-0.131,0.943734079952798,0.930848975233753,0.858828410978973
-0.13,0.93988459047575,0.925766062629867,0.859356053964808
-0.129,0.936105646086123,0.920783591977544,0.859885442812907
-0.128,0.932396025523873,0.915899363545045,0.860416582369302
-0.127,0.928754542670286,0.911111249907019,0.860949477504394
-0.126,0.925180045436566,0.906417193163926,0.861484133113085
-0.125,0.92167141469709,0.901815202292213,0.862020554114907
-0.124,0.918227563265367,0.897303350618231,0.862558745454152
-0.123,0.914847434910772,0.892879773409258,0.863098712100007
-0.122,0.911530003414244,0.888542665575475,0.863640459046683
-0.121,0.908274271661234,0.884290279477035,0.864183991313552
-0.12,0.905079270770293,0.880120922830768,0.864729313945281
-0.119,0.901944059255726,0.876032956711385,0.865276432011965
-0.118,0.898867722222872,0.872024793642305,0.865825350609267
-0.117,0.895849370594601,0.868094895771585,0.866376074858556
-0.116,0.892888140367711,0.864241773128637,0.866928609907042
-0.115,0.889983191897975,0.860463981957682,0.867482960927918
-0.114,0.887133709212622,0.856760123124162,0.868039133120501
-0.113,0.884338899349154,0.853128840590474,0.868597131710371
-0.112,0.881597991719367,0.849568819957669,0.869156961949516
-0.111,0.878910237497607,0.846078787069906,0.869718629116476
-0.11,0.876274909032236,0.84265750667863,0.870282138516483
-0.109,0.873691299279407,0.839303781163655,0.870847495481614
-0.108,0.87115872125825,0.836016449308412,0.871414705370929
-0.107,0.868676507526634,0.832794385126865,0.871983773570628
-0.106,0.866244009676702,0.829636496739652,0.872554705494189
-0.105,0.863860597849409,0.826541725297202,0.873127506582528
-0.104,0.861525660267339,0.823509043947647,0.873702182304144
-0.103,0.859238602785125,0.820537456847531,0.874278738155271
-0.102,0.856998848456773,0.817625998213343,0.874857179660033
-0.101,0.854805837119315,0.814773731412095,0.875437512370599
-0.1,0.852659024992129,0.81197974808917,0.876019741867334
-0.099,0.850557884291421,0.809243167331842,0.876603873758957
-0.098,0.848501902859274,0.806563134866895,0.877189913682702
-0.097,0.846490583806765,0.803938822290864,0.877777867304471
-0.096,0.844523445170658,0.801369426331532,0.878367740318998
-0.095,0.842600019583206,0.798854168139314,0.878959538450006
-0.094,0.84071985395459,0.796392292607328,0.879553267450373
-0.093,0.838882509167599,0.793983067718918,0.880148933102291
-0.092,0.837087559784111,0.791625783921517,0.880746541217434
-0.091,0.83533459376302,0.789319753525784,0.881346097637121
-0.09,0.833623212189205,0.787064310128985,0.881947608232483
-0.089,0.831953029013212,0.784858808061655,0.882551078904632
-0.088,0.830323670801313,0.782702621856637,0.883156515584829
-0.087,0.828734776495589,0.780595145739597,0.883763924234654
-0.086,0.827185997183789,0.778535793140223,0.88437331084618
-0.085,0.825676995878623,0.776523996223302,0.884984681442142
-0.084,0.824207447306235,0.774559205438927,0.885598042076113
-0.083,0.822777037703603,0.77264088909113,0.88621339883268
-0.082,0.821385464624595,0.770768532924285,0.886830757827619
-0.081,0.820032436754464,0.7689416397266,0.887450125208074
-0.08,0.818717673732535,0.767159728950141,0.888071507152736
-0.079,0.817440905982903,0.765422336346773,0.888694909872021
-0.078,0.816201874552901,0.763729013619492,0.889320339608256
-0.077,0.815000330959182,0.762079328088617,0.889947802635859
-0.076,0.8138360370412,0.760472862372362,0.890577305261523
-0.075,0.812708764821966,0.758909214081304,0.891208853824405
-0.074,0.811618296375848,0.757387995526328,0.891842454696311
-0.073,0.810564423703339,0.755908833439593,0.892478114281882
-0.072,0.809546948612593,0.754471368708162,0.893115839018788
-0.071,0.808565682607624,0.75307525611989,0.893755635377917
-0.07,0.807620446783028,0.751720164121228,0.894397509863571
-0.069,0.806711071725122,0.750405774586593,0.895041469013652
-0.068,0.80583739741938,0.749131782599005,0.895687519399867
-0.067,0.804999273164068,0.747897896241679,0.896335667627919
-0.066,0.804196557489992,0.746703836400275,0.896985920337706
-0.065,0.803429118086254,0.74554933657558,0.897638284203526
-0.064,0.80269683173196,0.744434142706321,0.898292765934268
-0.063,0.801999584233789,0.743358013001924,0.898949372273626
-0.062,0.80133727036937,0.742320717784949,0.899608110000297
-0.061,0.800709793836401,0.741322039343045,0.900268985928185
-0.06,0.800117067207469,0.740361771790202,0.900932006906617
-0.059,0.799559011890513,0.739439720937119,0.901597179820541
-0.058,0.799035558094913,0.738555704170556,0.902264511590744
-0.057,0.798546644803143,0.737709550341483,0.902934009174063
-0.056,0.798092219748003,0.73690109966191,0.903605679563595
-0.055,0.797672239395387,0.736130203610255,0.904279529788915
-0.054,0.797286668932563,0.735396724845156,0.904955566916293
-0.053,0.79693548226201,0.734700537127599,0.905633798048911
-0.052,0.796618662000759,0.734041525251296,0.906314230327084
-0.051,0.796336199485281,0.733419584981215,0.90699687092848
-0.05,0.796088094781923,0.732834623000197,0.907681727068346
-0.049,0.795874356702922,0.732286556863619,0.908368805999732
-0.048,0.795695002828018,0.731775314962026,0.909058115013716
-0.047,0.795550059531708,0.731300836491727,0.909749661439634
-0.046,0.795439562016174,0.730863071433314,0.91044345264531
-0.045,0.795363554349947,0.730461980538094,0.911139496037287
-0.044,0.795322089512356,0.730097535322431,0.911837799061064
-0.043,0.795315229443815,0.729769718070011,0.912538369201324
-0.042,0.795343045102045,0.729478521842039,0.91324121398218
-0.041,0.795405616524276,0.729223950495405,0.913946340967407
-0.04,0.795503032895545,0.729006018708869,0.914653757760687
-0.039,0.795635392623164,0.728824752017292,0.91536347200585
-0.038,0.795802803417462,0.728680186854006,0.916075491387116
-0.037,0.796005382378917,0.728572370601374,0.916789823629347
-0.036,0.796243256091797,0.728501361649645,0.91750647649829
-0.035,0.796516560724418,0.728467229464189,0.918225457800829
-0.034,0.796825442136183,0.728470054661232,0.918946775385237
-0.033,0.797170055991519,0.72850992909221,0.919670437141429
-0.032,0.797550567880894,0.728586955936877,0.92039645100122
-0.031,0.797967153449049,0.728701249805322,0.92112482493858
-0.03,0.798419998530637,0.728852936849044,0.921855566969895
-0.029,0.798909299293459,0.729042154881281,0.922588685154229
-0.028,0.799435262389469,0.729269053506765,0.923324187593587
-0.027,0.799998105113786,0.729533794261118,0.924062082433182
-0.026,0.800598055571902,0.729836550760106,0.9248023778617
-0.025,0.801235352855343,0.730177508858988,0.925545082111575
-0.024,0.801910247226009,0.730556866822216,0.926290203459255
-0.023,0.802623000309462,0.730974835503743,0.92703775022548
-0.022,0.803373885297428,0.731431638538242,0.927787730775556
-0.021,0.804163187159799,0.731927512543535,0.928540153519636
-0.02,0.804991202866443,0.732462707334548,0.929295026912997
-0.019,0.805858241619133,0.73303748614915,0.930052359456327
-0.018,0.806764625093928,0.733652125886239,0.930812159696003
-0.017,0.807710687694368,0.734306917356451,0.931574436224386
-0.016,0.80869677681584,0.735002165545915,0.932339197680104
-0.015,0.809723253121518,0.73573818989348,0.933106452748348
-0.014,0.810790490830273,0.736515324581887,0.933876210161163
-0.013,0.811898878016989,0.737333918843345,0.934648478697746
-0.012,0.813048816925748,0.738194337280053,0.935423267184741
-0.011,0.81424072429634,0.739096960200192,0.936200584496545
