,Return,epk_overall,0,1
0,-0.15,1.03220386107857,0.715492041336264,1.348915680820876
1,-0.149,1.02672527062283,0.718806796300319,1.3346437449453412
2,-0.148,1.02134899667143,0.7219127458561927,1.3207852474866673
3,-0.147,1.01607286036527,0.7248198497480376,1.3073258709825024
4,-0.146,1.01089475131079,0.7275374888445705,1.2942520137770095
5,-0.145,1.00581262503556,0.7300745058813751,1.2815507441897447
6,-0.144,1.00082450055882,0.732439242941167,1.2692097581764732
7,-0.143,0.995928458071067,0.7346395759907167,1.2572173401514173
8,-0.142,0.991122636717013,0.736682946758134,1.245562326675892
9,-0.141,0.986405232476719,0.7385763921972881,1.2342340727561498
10,-0.14,0.981774496139866,0.7403265704611595,1.2232224218185725
11,-0.139,0.977228731368491,0.7419397847990656,1.2125176779379163
12,-0.138,0.972766292843791,0.7434220098855214,1.2021105758020605
13,-0.137,0.968385584492803,0.7447789141342118,1.1919922548513942
14,-0.136,0.964085057791054,0.7460158801017717,1.1821542354803363
15,-0.135,0.959863210137454,0.7471380231810754,1.1725883970938327
16,-0.134,0.95571858329794,0.7481501889988643,1.1632869775970156
17,-0.133,0.951649761914563,0.749056960018964,1.1542425638101619
18,-0.132,0.947655372076897,0.7498627018692658,1.1454480422845281
19,-0.131,0.943734079952798,0.7505715809660247,1.1368965789395713
20,-0.13,0.93988459047575,0.7511875784238342,1.1285816025276658
21,-0.129,0.936105646086123,0.7517145031484359,1.12049678902381
22,-0.128,0.932396025523873,0.7521560041690952,1.112636046878651
23,-0.127,0.928754542670286,0.7525155822602312,1.1049935030803408
24,-0.126,0.925180045436566,0.7527966008955026,1.0975634899776294
25,-0.125,0.92167141469709,0.7530022965716257,1.0903405328225544
26,-0.124,0.918227563265367,0.7531357885339529,1.0833193379967812
27,-0.123,0.914847434910772,0.7532000879309317,1.0764947818906123
28,-0.122,0.911530003414244,0.7531981064202519,1.069861900408236
29,-0.121,0.908274271661234,0.7531326642457579,1.06341587907671
30,-0.12,0.905079270770293,0.7530064978008357,1.0571520437397504
31,-0.119,0.901944059255726,0.7528222666912179,1.051065851820234
32,-0.118,0.898867722222872,0.7525825603078843,1.04515288413786
33,-0.117,0.895849370594601,0.7522899039189559,1.0394088372702461
34,-0.116,0.892888140367711,0.7519467642882464,1.0338295164471758
35,-0.115,0.889983191897975,0.7515555548273686,1.0284108289685816
36,-0.114,0.887133709212622,0.7511186402880481,1.023148778137196
37,-0.113,0.884338899349154,0.750638341001533,1.0180394576967748
38,-0.112,0.881597991719367,0.7501169366726114,1.0130790467661228
39,-0.111,0.878910237497607,0.7495566697368768,1.008263805258337
40,-0.11,0.876274909032236,0.7489597482912418,1.0035900697732303
41,-0.109,0.873691299279407,0.7483283486094965,0.9990542499493176
42,-0.108,0.87115872125825,0.7476646172566388,0.9946528252598612
43,-0.107,0.868676507526634,0.7469706728178436,0.9903823422354243
44,-0.106,0.866244009676702,0.7462486072601854,0.9862394120932186
45,-0.105,0.863860597849409,0.745500486947453,0.9822207087513651
46,-0.104,0.861525660267339,0.7447283533305614,0.9783229672041166
47,-0.103,0.859238602785125,0.7439342233381485,0.9745429822321015
48,-0.102,0.856998848456773,0.7431200894936729,0.9708776074198731
49,-0.101,0.854805837119315,0.7422879197869849,0.9673237544516451
50,-0.1,0.852659024992129,0.7414396573294433,0.9638783926548147
51,-0.099,0.850557884291421,0.7405772198225883,0.9605385487602537
52,-0.098,0.848501902859274,0.7397024988707454,0.9573013068478026
53,-0.097,0.846490583806765,0.7388173591679918,0.9541638084455382
54,-0.096,0.844523445170658,0.7379236375895173,0.9511232527517988
55,-0.095,0.842600019583206,0.737023142216598,0.9481768969498139
56,-0.094,0.84071985395459,0.7361176513231908,0.9453220565859892
57,-0.093,0.838882509167599,0.7352089123506632,0.9425561059845348
58,-0.092,0.837087559784111,0.73429864089526,0.939876478672962
59,-0.091,0.83533459376302,0.7333885197308733,0.9372806677951667
60,-0.09,0.833623212189205,0.7324801978873003,0.9347662264911096
61,-0.089,0.831953029013212,0.7315752898017929,0.9323307682246311
62,-0.088,0.830323670801313,0.7306753745591167,0.9299719670435093
63,-0.087,0.828734776495589,0.7297819952327632,0.9276875577584148
64,-0.086,0.827185997183789,0.7288966583374655,0.9254753360301126
65,-0.085,0.825676995878623,0.7280208334006119,0.9233331583566341
66,-0.084,0.824207447306235,0.7271559526578193,0.9212589419546506
67,-0.083,0.822777037703603,0.7263034108757113,0.9192506645314947
68,-0.082,0.821385464624595,0.7254645653028444,0.9173063639463457
69,-0.081,0.820032436754464,0.7246407357479083,0.9154241377610197
70,-0.08,0.818717673732535,0.7238332047826216,0.9136021426824484
71,-0.079,0.817440905982903,0.7230432180653567,0.9118385939004493
72,-0.078,0.816201874552901,0.7222719847802236,0.9101317643255785
73,-0.077,0.815000330959182,0.7215206781853999,0.9084799837329641
74,-0.076,0.8138360370412,0.7207904362636087,0.9068816378187913
75,-0.075,0.812708764821966,0.7200823624671022,0.9053351671768297
76,-0.074,0.811618296375848,0.719397526548946,0.9038390662027501
77,-0.073,0.810564423703339,0.7187369654722635,0.9023918819344146
78,-0.072,0.809546948612593,0.7181016843888217,0.9009922128363643
79,-0.071,0.808565682607624,0.7174926576784095,0.8996387075368384
80,-0.07,0.807620446783028,0.7169108300405105,0.8983300635255456
81,-0.069,0.806711071725122,0.71635711762998,0.897065025820264
82,-0.068,0.80583739741938,0.7158324092286568,0.8958423856101032
83,-0.067,0.804999273164068,0.7153375674451734,0.8946609788829627
84,-0.066,0.804196557489992,0.714873429935573,0.8935196850444109
